sku,type,name
C-BBCD,simple,BB Cream - Dark
C-BBCL,simple,BB Cream - Light
C-BBCM,simple,BB Cream - Med
C-BBCT,simple,BB Cream - Tan
C-GG152,simple,Zodiac
C-GG153,simple,Neptune
C-GG154,simple,Luna
C-GG155,simple,SpaceSuit
C-GG156,simple,Solar
C-GG159,simple,OuterSpace
C-GG158,simple,Earth
C-GG157,simple,Venus
C-GG160,simple,Pluto
C-LL4500-LIQDSTNDP,simple,4500 - All Natural
C-LL4502-LIQDSTNDP,simple,4502 - Angel
C-LL4501-LIQDSTNDP,simple,4501 - Dream
C-LL4503-LIQDSTNDP,simple,4503 - Pink Pop
C-LL4504-LIQDSTNDP,simple,4504 - Love Bite
C-LL4505-LIQDSTNDP,simple,Charmed
C-LL4507-LIQDSTNDP,simple,Black Berry
C-LL4508-LIQDSTNDP,simple,Dream Girl
C-LL4509-LIQDSTNDP,simple,4509 Fall In Love
C-LL4510-LIQDSTNDP,simple,Hot Lips
C-LL4511-LIQDSTNDP,simple,Kiss Me
C-LL4512-LIQDSTNDP,simple,Shocking Pink
C-LL4513-LIQDSTNDP,simple,Gorgeous (Satin)
C-LL4514-LIQDSTNDP,simple,Bam Bam (Satin)
C-LL4515-LIQDSTNDP,simple,Snob (Satin)
C-LL4516-LIQDSTNDP,simple,4516 - Liquid Lipstick - Amorous (Satin) - Stnd P
C-LL4517-LIQDSTNDP,simple,Pebbles (Satin)
C-LL4518-LIQDSTNDP,simple,Soul Mate
C-LL4519-LIQDSTNDP,simple,Blue Moon
C-LL4520-LIQDSTNDP,simple,Paradise Blue
C-LL4521-LIQDSTNDP,simple,4521 - Scandalous
C-LL4522-LIQDSTNDP,simple,4522 - Spell Bond
C-LL4523-LIQDSTNDP,simple,4523 - Black
C-LL4524-LIQDSTNDP,simple,4524 - Grey
C-LL4525-LIQDSTNDP,simple,4525 - Tangerine Queen
C-LL4526-LIQDSTNDP,simple,4526 - Speechless
C-LL4527-LIQDSTNDP,simple,4527 - Fearless
C-LL4528-LIQDSTNDP,simple,4528 - Stylish Girl
C-LL4529-LIQDSTNDP,simple,4529 - Fashionable
C-LL4530-LIQDSTNDP,simple,4530 - Hunter
