sku,name
BB_CREAM,BB CREAM
blush_compact_color,Blush - Compact
blush_refill_color,Blush - Refill
Brow-Pencil,Brow Pencil
browfix_color,Brow Fix
browfix_color-1,DEMO PRODUCT
browfix_color-1-1,DEMO PRODUCT 2
compact_bronzer_color,Compact Bronzer
con_stick,Con Stick
concealer_pot,Concealer Pot
Concealer_Pot_Refill,Concealer Pot Refill
Eye-Pencil,Eye Pencil
eyeshadow_color,Eye Shadow Refill
eyeshadow_compact_color,Eye Shadow Compact
Galactic_Gloss,Galactic Gloss
Gel-Eyeliner,Gel Eyeliner
glitterdust_color,Glitter Dust - Standard Packaging
HDC_Foundation,HDC Foundation
HDC_Refill,HD Cream Foundation Refill
hdl_foundation_15,HDL Foundation 15ml
HDL_Foundation_30,HDL Foundation 30ml
illuminator_color,Illuminator
Lip_Plumper,Lip Plumper
Lip-Pencil,Lip Pencil
lipconditioner_color,Lip Conditioner
lipgloss_color,Lip Gloss
lipscrub_color,Lip Scrub
Lipstick_Gold_Trim_Packaging,Lipstick Gold Trim Packaging
lipstick_kisstint,Lipstick Kisstint
lipstick_silverc,Lipstick Silverc
Lipstick_Standard_Packaging,Lipstick Standard Packaging
Liquid_Lipstick_standard Packaging,Liquid Lipstick
liquidcon_color,Full Coverage Liquid Concealer
LL_Shny_Blk,Liquid Lipstick Shiny Black Packaging
LL_Silver,Liquid Lipstick Silver Cap Packaging
LOGO,Logo Plate Design
loose_powder,Loose Powder
Mascara,Mascara
Mascara_Squeeze,Mascara Squeeze Tube
Mcreme_BL_Refill,Mineral Crème Blush Refill
Mcreme_ES_Compact,Mineral Crème Eyeshadow
Mcreme_ES_Refill,Mineral Crème Eyeshadow Refill
mineraldust_color,Mineral Dust
mist_flavor,Mist Flavor
primer,Primer
Professional_Picture_Photography,Professional Picture Photography
refil_bronzer_color,Refill Bronzer
sheerglo_compact_color,Sheer Glow - Compact
sheerglo_refill_color,Sheer Glow - Refill
SPV,Skin Perfecting Veil
wd_dual_foundation,WD Dual Foundation
WD_Foundation_Refill,Dual Powder Foundation Refill
